name,calories,protein,sugars,cups,rating
Cap'n'Crunch,120,1,12,0.75,18.042851
Cinnamon Toast Crunch,120,1,9,0.75,19.823573
Honey Graham Ohs,120,1,11,1,21.871292
Count Chocula,110,1,13,1,22.396513
Cocoa Puffs,110,1,13,1,22.736446
Golden Grahams,110,1,9,0.75,23.804043
Lucky Charms,110,2,12,1,26.734515
Trix,110,1,12,1,27.753301
Fruity Pebbles,110,1,12,0.75,28.025765
Total Raisin Bran,140,3,14,1,28.592785
Honey-comb,110,1,11,1.33,28.742414
Apple Cinnamon Cheerios,110,2,10,0.75,29.509541
Nut&Honey Crunch,120,2,9,0.67,29.924285
Mueslix Crispy Blend,160,3,13,0.67,30.313351
Oatmeal Raisin Crisp,130,3,10,0.5,30.450843
Honey Nut Cheerios,110,3,10,0.75,31.072217
Smacks,110,2,15,0.75,31.230054
Frosted Flakes,110,1,11,0.75,31.435973
Froot Loops,110,2,13,1,32.207582
Apple Jacks,110,2,14,1,33.174094
100% Natural Bran,120,3,8,1,33.983679
Muesli Raisins; Peaches; & Pecans,150,4,11,1,34.139765
Almond Delight,110,2,8,0.75,34.384843
Golden Crisp,100,2,15,0.88,35.252444
Corn Pops,110,1,12,1,35.782791
Crispy Wheat & Raisins,100,2,10,0.75,36.176196
Wheaties Honey Gold,110,2,8,0.75,36.187559
Just Right Fruit & Nut,140,3,9,0.75,36.471512
Just Right Crunchy  Nuggets,110,2,6,1,36.523683
Basic 4,130,3,8,0.75,37.038562
Muesli Raisins; Dates; & Almonds,150,4,11,1,37.136863
Post Nat. Raisin Bran,120,3,14,0.67,37.840594
Total Corn Flakes,110,2,3,1,38.839746
Triples,110,2,3,0.75,39.106174
Kix,110,2,3,1.5,39.241114
Raisin Bran,120,3,12,0.75,39.259197
Raisin Nut Bran,100,3,8,0.5,39.7034
Multi-Grain Cheerios,100,2,6,1,40.105965
Clusters,110,3,7,0.5,40.400208
Cracklin' Oat Bran,110,3,7,0.5,40.448772
Rice Krispies,110,2,3,1,40.560159
Nutri-Grain Almond-Raisin,140,3,7,0.67,40.69232
Fruit & Fibre Dates; Walnuts; Oats,120,3,10,0.67,40.917047
Fruitful Bran,120,3,12,0.67,41.015492
Corn Chex,110,2,3,1,41.445019
Product 19,100,3,3,1,41.50354
Rice Chex,110,1,2,1.13,41.998933
Double Chex,100,2,5,0.75,44.330856
Life,100,4,6,0.67,45.328074
Great Grains Pecan,120,3,4,0.33,45.811716
Corn Flakes,100,2,2,1,45.863324
Total Whole Grain,100,3,3,1,46.658844
Crispix,110,2,3,1,46.895644
Bran Chex,90,2,6,0.67,49.120253
Quaker Oat Squares,100,4,6,0.5,49.511874
Wheat Chex,100,3,3,0.67,49.787445
Cheerios,110,6,1,1.25,50.764999
Quaker Oatmeal,100,5,-1,0.67,50.828392
Wheaties,100,3,3,1,51.592193
Grape Nuts Flakes,100,3,5,0.88,52.076897
Special K,110,6,3,1,53.131324
Bran Flakes,90,3,5,0.67,53.313813
Grape-Nuts,110,3,3,0.25,53.371007
Maypo,100,4,3,1,54.850917
Raisin Squares,90,2,6,0.5,55.333142
Frosted Mini-Wheats,100,3,7,0.8,58.345141
Strawberry Fruit Wheats,90,2,5,1,59.363993
All-Bran,70,4,5,0.33,59.425505
Nutri-grain Wheat,90,3,2,1,59.642837
Puffed Rice,50,1,0,1,60.756112
Puffed Wheat,50,2,0,1,63.005645
Cream of Wheat (Quick),100,3,0,1,64.533816
Shredded Wheat,80,2,0,1,68.235885
100% Bran,70,4,6,0.33,68.402973
Shredded Wheat spoon size,90,3,0,0.67,72.801787
Shredded Wheat 'n'Bran,90,3,0,0.67,74.472949
All-Bran with Extra Fiber,50,4,0,0.5,93.704912
